"Nome","Símbolo","Bolsa","Último","Compra","Venda","Transações Pós-fecho","Transações Pós-fecho (%)","Abertura","Prévio","Alta","Baixa","Var.","Var.%","Vol.","Próximos Resultados","Hora","Capitalização","Receitas","Vol. Méd. (3m)","LPA","Preço/Result.","Beta","Dividendo","Rendimento","5 minutos","15 minutos","30 minutos","Hora","5 horas","Diário","Semanal","Mensal","Diário","Semana","Mês","YTD","1 ano","3 anos"
"Deutsche Bank AG","DBKGn","ETR","9,964","9,935","9,985","--","--","9,847","9,964","9,968","9,770","+0,099","+1,00%","7.421.548","26.07.2023","16:36:43","20.040.000.000","8.880.000.000","14.409.933","2,48","3,98","1,38","0,3","3,51%","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Neutro","1,00%","3,72%","0,68%","-5,89%","-1,19%","48,92%"
"Cisco Systems Inc","CSCO.O","NASDAQ","48,91","-","-","48,91","--","48,61","48,82","49,35","48,60","+0,09","+0,18%","17.633.981","16.08.2023","20:59:59","200.330.000.000","54.900.000.000","18.283.481","2,79","17,51","0,985","1,56","3,2%","Compra Forte","Neutro","Neutro","Neutro","Compra Forte","Compra Forte","Compra","Compra","0,18%","4,24%","3,21%","2,67%","11,74%","8,93%"
"Caixabank SA","CABK","BME","3,510","3.490","3.510","--","--","3,480","3,510","3,508","3,459","+0,031","+0,89%","6,837,724","28.07.2023","","26.290.000.000","8.540.000.000","17.342.833","0,405","8,63","0,93","0.1868","5.18%","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Compra Forte","0,89%","5,37%","-1,24%","-4,41%","6,85%","125,36%"
"BioNTech SE","BNTX.O","NASDAQ","116,30","-","-","116,80","--","107,53","107,50","119,00","107,28","+8,80","+8,19%","2.456.887","07.08.2023","20:59:59","28.030.000.000","12.210.000.000","689.499","25,69","4,30","0,21","1,5498","1,44%","Venda Forte","Compra","Compra Forte","Compra Forte","Compra Forte","Compra","Venda Forte","Venda Forte","8,19%","10,13%","-0,54%","-22,58%","-23,73%","127,91%"
"Bayerische Motoren Werke AG","BMWG","ETR","104,480","104,380","104,660","--","--","104,100","104,480","104,640","103,620","+0,440","+0,42%","822.410","03.08.2023","16:35:07","66.610.000.000","31.140.000.000","1.225.882","17,49","5,61","1,13","8,5","8,62%","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","0,42%","4,93%","3,28%","25,31%","34,31%","108,63%"
"Barclays PLC","BARC.L","LON","163,44","145,40","165,00","--","--","160,36","160,08","163,76","159,96","+3,36","+2,10%","24.625.129","27.07.2023","16:49:43","25.400.000.000","20.880.000.000","68.855.182","0,335","4,87","1,35","7,25","4,53%","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","2,10%","5,85%","5,99%","3,10%","0,41%","58,46%"
"Banco Santander","BNC.L","LON","283,00","-","-","--","--","270,50","280,00","283,00","270,50","+3,00","+1,07%","170.173","26.07.2023","16:35:00","45.250.000.000","44.220.000.000","489.676","0,548","5,89","1,38","0,0954","2,96%","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Compra Forte","1,07%","3,85%","-10,87%","13,88%","16,37%","66,65%"
"AT&T Inc","T","NYSE","16,10","-","-","16,14","--","16,26","16,38","16,30","16,07","-0,28","-1,71%","45.002.342","26.07.2023","20:59:59","115.170.000.000","121.170.000.000","33.630.755","-1,21","-13,36","0,766","1,11","6,78%","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","-1,71%","-2,60%","-8,16%","-12,55%","-23,91%","-28,60%"
"AerCap Holdings NV","AER","NYSE","58,90","58,42","59,53","58,91","--","58,70","58,64","60,00","57,86","+0,26","+0,44%","979.149","01.08.2023","21:00:00","13.700.000.000","6.990.000.000","1.459.974","7,10","8,35","2,00","-","-","Venda Forte","Venda Forte","Venda Forte","Compra","Compra Forte","Compra Forte","Compra Forte","Compra Forte","0,44%","3,10%","6,34%","0,99%","28,49%","104,51%"
"Shift Technologies, Inc.","SFT.O","NASDAQ","1,480","1,440","1,480","1,440","-2,703%","1,430","1,435","1,570","1,420","+0,045","+3,14%","141.589","--","20:59:59","25.500.000","508.870.000","287.771","-15,07","-0,10","1,42","-","-","Neutro","Venda Forte","Neutro","Compra","Compra Forte","Venda Forte","Venda Forte","Venda Forte","3,14%","8,03%","4,23%","-0,60%","-83,75%","-98,53%"
"Palantir Technologies Inc","PLTR.K","NYSE","12,64","-","-","12,63","--","11,95","11,84","13,42","11,87","+0,80","+6,76%","147.894.142","09.08.2023","20:59:59","26.780.000.000","1.980.000.000","43.763.989","-0,123","-102,93","2,84","-","-","Venda","Neutro","Compra","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra","6,76%","33,47%","56,05%","96,88%","67,42%","-"
"Pfizer Inc","PFE","NYSE","39,64","-","-","39,90","--","38,55","38,75","40,14","38,00","+0,89","+2,30%","74.481.645","01.08.2023","20:59:59","223.840.000.000","92.950.000.000","23.823.899","5,18","7,70","0,586","1,64","4,23%","Venda Forte","Neutro","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Venda Forte","Venda Forte","2,30%","7,11%","-0,68%","-22,64%","-25,78%","11,50%"
"Advanced Micro Devices Inc","AMD.O","NASDAQ","108,12","-","-","108,08","--","107,25","108,00","110,99","107,19","+0,12","+0,11%","72.859.961","01.08.2023","20:59:59","174.110.000.000","23.070.000.000","64.221.613","0,245","440,98","1,94","-","-","Venda","Venda","Neutro","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","0,11%","6,54%","23,47%","66,93%","18,60%","95,98%"
"NVIDIA Corporation","NVDA.O","NASDAQ","306,88","-","-","307,31","--","310,00","311,76","312,88","306,31","-4,88","-1,57%","35.443.955","24.05.2023","20:59:59","758.950.000.000","26.970.000.000","43.240.072","1,76","174,52","1,76","0,16","0,05%","Venda Forte","Venda Forte","Venda Forte","Venda","Compra Forte","Compra Forte","Compra Forte","Compra Forte","-1,57%","5,05%","13,48%","109,99%","89,97%","240,00%"
"Moderna Inc","MRNA.O","NASDAQ","137,75","-","-","139,35","1,16%","126,49","126,74","139,91","125,60","+11,01","+8,69%","7.660.408","09.08.2023","20:59:59","52.510.000.000","15.060.000.000","3.448.267","12,27","11,32","1,69","-","-","Venda Forte","Neutro","Compra Forte","Compra Forte","Compra Forte","Compra","Venda Forte","Venda Forte","8,69%","10,10%","-0,28%","-23,31%","4,31%","99,64%"
"UBS Group AG","UBSG.S","SIX","18,11","18,10","18,11","--","--","18,08","18,08","18,16","17,96","+0,03","+0,17%","4.105.537","25.07.2023","16:37:00","53.610.000.000","21.610.000.000","12.561.555","2,05","9,73","1,09","0,2486","1,3%","Venda","Compra","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Compra","0,17%","5,54%","-0,49%","5,29%","1,86%","90,51%"
